"fig_id","description"
"fig-000001","Toy Store Employee"
"fig-000002","Customer Kid"
"fig-000003","Assassin Droid, White"
"fig-000004","Man, White Torso, Black Legs, Brown Hair"
"fig-000005","Captain America with Short Legs"
"fig-000006","Lloyd Avatar"
"fig-000007","Lloyd / Digi Lloyd - Katana Holders"
"fig-000008","Wonder Woman"
"fig-000009","The Flash"
"fig-000010","Batman, Dark Bluish Gray Suit, Black Cape and Cowl, Black Head, Dark Bluish Gray Legs, Small Batman Logo"
"fig-000011","Captain Cold"
"fig-000012","Truck Driver"
"fig-000013","Gorilla Grodd"
"fig-000014","Batgirl, Dark Purple Suit, Wings"
"fig-000015","Sir Fangar"
"fig-000016","Stealthor"
"fig-000017","Gorzan"
"fig-000018","Alien"
"fig-000019","UFO Alien, Blue"
"fig-000020","Classic Spaceman, Red with Airtanks (3842a Helmet)"
"fig-000021","Krusty the Clown (CMF)"
"fig-000022","Chicken Suit Guy"
"fig-000023","Warrior Woman"
"fig-000024","Race Car Driver (CMF)"
"fig-000025","Conquistador"
"fig-000026","Firox"
"fig-000027","UFO Alien, Red"
"fig-000028","Hulk, Dark Purple Pants, Printed"
"fig-000029","Harry Potter, Open Dark Blue Jacket over White Shirt, Dark Bluish Gray Legs"
"fig-000030","Space Police II"
"fig-000031","Street Skater"
"fig-000032","Batman, Black Suit, Black Cape and Cowl, Yellow Batman Logo (56630 Cape) (3626b Head)"
"fig-000033","Red Torso, Dark Blue Legs, Light Bluish Gray Helmet"
"fig-000034","Aquanaut 2"
"fig-000035","Milhouse Van Houten (CMF)"
"fig-000036","Crazy Scientist"
"fig-000037","Pop Star (CMF)"
"fig-000038","Woman, Dark Bluish Gray Jacket with Magenta Scarf, White Legs, Black Hair"
"fig-000039","Policeman, Black Jacket with Zipper, White Helmet (3842a Helmet)"
"fig-000040","Man, Plain White Torso, Blue Legs, Light Gray Cowboy Hat"
"fig-000041","Ralph Wiggum"
"fig-000043","Dr. Kilroy in Dark Gray Suit"
"fig-000044","Basketball Player, Violet Torso, Violet Legs 3"
"fig-000045","Policeman, Black Jacket with Pocket and Badge, White Hat, Glasses"
"fig-000046","Surfer (CMF)"
"fig-000047","Tomahawk Warrior"
"fig-000048","Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Orange Legs, Red Hard Hat, Brown Eyebrows"
"fig-000049","LEGO Store Employee"
"fig-000050","Apu Nahasapeemapetilon (CMF)"
"fig-000051","Worker, Orange Overalls over Blue Sweater, Red Hard Hat (3626b Head)"
"fig-000052","Policeman, Black Suit with Badge, White Hat, Scowl"
"fig-000053","Pirate - Blue Jacket, Black Legs, Brown Tricorne"
"fig-000054","Clone Pilot, Phase I Armor, Plain Black Head"
"fig-000055","Itchy"
"fig-000056","Clone Trooper Lieutenant, Dark Azure Markings, Plain Legs"
"fig-000057","Archer (Fright Knights)"
"fig-000058","Clone Trooper, Phase I Armor, Angry, Plain Legs"
"fig-000059","Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Green Legs, Black Cap, Beard and Glasses"
"fig-000060","Edna Krabappel (CMF)"
"fig-000061","Blacktron II - 3626a Head"
"fig-000062","Blacktron II - 3626b Head"
"fig-000063","Scratchy (CMF)"
"fig-000064","Clone Trooper, 91st Mobile Reconnaissance Corps, Dark Red Markings"
"fig-000065","M:Tron"
"fig-000066","Waiter"
"fig-000067","Man, Green V-Neck Sweater, Light Bluish Gray Legs, Beard"
"fig-000068","Chief Wiggum (CMF)"
"fig-000069","Ninja, White"
"fig-000070","Space Police I"
"fig-000071","Exploriens Droid with Helmet"
"fig-000072","Knight (Breastplate on Black) - Black Legs, Armor, Red Dragon Plume"
"fig-000073","Chef, Red Neckerchief, Light Bluish Gray Legs, Goatee Beard"
"fig-000074","Man, Green Jacket, Green Legs, Green Cap, Sunglasses"
"fig-000075","Stormtrooper, Plain Black Head, Pauldron and Neck Bracket"
